Area	PopTot	Higher	PhD	MA	BA	Voc1	Voc2	Voc3	HiS1	HiS2	Middle	Liter	Illit	NI
მარტვილის მუნიციპალიტეტი	29978	0.145039696	39	2454	1855	3926	928	956	15025	2153	1493	751	102	296
მესტიის მუნიციპალიტეტი	7990	0.202002503	13	477	1124	1020	255	239	3081	762	551	298	43	127
სენაკის მუნიციპალიტეტი	35231	0.199455025	31	4061	2935	4996	1359	917	15371	2513	1647	948	84	369
ჩხოროწყუს მუნიციპალიტეტი	19774	0.165216952	19	2067	1181	2514	649	656	9567	1231	1130	534	74	152
წალენჯიხის მუნიციპალიტეტი	23167	0.17874563	29	1667	2445	2817	629	735	11456	1480	1086	588	45	190
ხობის მუნიციპალიტეტი	27049	0.146400976	26	1699	2235	3702	851	1124	12056	2895	1484	660	92	225
სამცხე-ჯავახეთი	138612	0.157388971	276	8746	12794	15906	4316	4383	60496	13907	9905	5879	723	1281
ქ. ახალციხე	15036	0.295357808	43	1736	2662	2228	500	499	4611	1151	925	549	31	101
ადიგენის მუნიციპალიტეტი 	14341	0.154870651	14	990	1217	2483	453	185	5417	1853	1083	491	78	77
ასპინძის მუნიციპალიტეტი	8997	0.158163832	0	508	915	1335	258	327	3442	1040	747	333	44	39
ახალქალაქის მუნიციპალიტეტი	38636	0.109198675	105	1402	2712	1965	876	990	21203	4057	2741	1820	255	510
ახალციხის მუნიციპალიტეტი	18590	0.126465842	33	942	1376	3089	733	337	7420	1798	1593	963	158	148
ბორჯომის მუნიციპალიტეტი	22206	0.197108889	35	2020	2322	3346	944	1230	7986	2062	1316	694	59	192
ნინოწმინდის მუნიციპალიტეტი 	20806	0.133374988	37	1148	1590	1460	552	815	10417	1946	1500	1029	98	214
ქვემო ქართლი   	361105	0.168673931	917	20305	39687	29866	9498	8628	149833	44475	28894	16933	4133	7936
ქ. რუსთავი 	106057	0.29402114	264	10647	20272	13478	4119	3425	37341	6535	4892	3220	144	1720
ბოლნისის მუნიციპალიტეტი	46212	0.125768199	122	2467	3223	3038	1006	971	18967	6581	4922	2723	1000	1192
გარდაბნის მუნიციპალიტეტი	69649	0.123662938	192	2159	6262	5740	1751	1535	30207	10286	5886	3559	570	1502
დმანისის მუნიციპალიტეტი 	16512	0.087330426	26	563	853	1028	424	478	5376	3921	2358	1055	265	165
თეთრი წყაროს მუნიციპალიტეტი	18442	0.163105954	57	1129	1822	2188	554	358	6265	3119	1729	745	171	305
მარნეულის მუნიციპალიტეტი	88111	0.106036704	222	2755	6366	3686	1368	1436	42914	11981	7665	4933	1889	2896
წალკის მუნიციპალიტეტი	16122	0.093536782	34	585	889	708	276	425	8763	2052	1442	698	94	156
შიდა ქართლი	230162	0.185447641	407	24043	18233	29662	7955	7089	93559	24089	15171	7176	963	1815
ქ. გორი	41168	0.363631947	148	10508	4314	4816	1321	569	12889	2757	2201	1328	52	265
გორის მუნიციპალიტეტი	68249	0.145833639	112	4195	5646	8754	2453	2116	29295	8064	4614	2120	364	516
კასპის მუნიციპალიტეტი	38785	0.132293412	54	2728	2349	5278	1005	1632	15372	5470	3217	1192	203	285
ქარელის მუნიციპალიტეტი	36038	0.134219435	55	3069	1713	4866	1497	1301	15167	4080	2533	1145	195	417
ხაშურის მუნიციპალიტეტი	45922	0.169679021	38	3543	4211	5948	1679	1471	20836	3718	2606	1391	149	332
